Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0805_2012Metric,-19.8,-21.0,180.0,top
C2,1u,C_0805_2012Metric,-19.8,-19.0,180.0,top
C3,1u,C_0805_2012Metric,-13.25,-24.3,180.0,top
C4,10u,C_0805_2012Metric,-15.0,3.5,180.0,top
C5,100n,C_0402_1005Metric,-10.75,4.52,90.0,top
C6,1u,C_0603_1608Metric,-20.0,-0.75,-90.0,top
C7,1u,C_0603_1608Metric,23.0,-18.0,0.0,top
D1,1N5819HW,1N5819HW,-14.5,-17.0,90.0,top
D2,GREEN,LED_0805_2012Metric,4.0,-29.75,180.0,top
D3,GREEN,LED_0805_2012Metric,-0.5,-29.75,0.0,top
D4,PRTR5V0U2X,SOT-666-6_L1.6-W1.2-P0.50-LS1.6-BR,-13.75,-10.75,180.0,top
D5,YELLOW,LED_0805_2012Metric,10.0,-27.5875,0.0,top
D6,LED,IR_LED_TH_5MM,0.0,-40.0,0.0,top
D7,RED,LED_0805_2012Metric,0.0,-35.75,0.0,top
J1,TYPE-C 16PIN 2MD(073),USB-C-SMD_TYPE-C-6PIN-2MD-073,-20.175,-10.75,-90.0,top
J2,Conn_01x04_Pin,HDR-TH_4P-P2.54-V-M,23.25,-5.48,-90.0,top
Q1,NMOS,SOT-23,-5.25,-40.0,0.0,top
R1,680R,R_0603_1608Metric,3.75,-27.75,0.0,top
R10,100R,R_0603_1608Metric,-10.25,-39.0,180.0,top
R11,100k,R_0603_1608Metric,-9.5,-41.425,90.0,top
R2,2k2,R_0603_1608Metric,-0.25,-27.75,180.0,top
R3,5k1,R_0402_1005Metric,-14.0,-9.0,180.0,top
R4,5k1,R_0402_1005Metric,-14.0,-12.5,180.0,top
R5,1k,R_0603_1608Metric,10.0,-25.5875,180.0,top
R6,10k,R_0603_1608Metric,-18.25,-0.75,-90.0,top
R7,10k,R_0603_1608Metric,20.0,-20.0,-90.0,top
R8,30R,R_1206_3216Metric,4.5,-38.5375,90.0,top
R9,330R,R_0603_1608Metric,2.0,-34.0,0.0,top
SW1,SW_Push,SW-SMD_L3.9-W3.0-P4.45,-22.75,-2.25,90.0,top
SW2,SW_Push,SW-SMD_L3.9-W3.0-P4.45,23.0,-22.0,90.0,top
U1,AP2112K-3.3TRG1,SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BL,-13.25,-21.3,180.0,top
U2,WS2812B_5050,WS2812B_5050,-18.5,-33.5,-90.0,top
U3,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1,0.0,-3.77,0.0,top
